iter	Passed	Remaining
415	3062	4299
416	3070	4293
417	3077	4284
418	3084	4277
419	3091	4268
420	3097	4260
421	3104	4252
422	3111	4244
423	3118	4236
424	3125	4228
425	3132	4220
426	3139	4212
427	3146	4204
428	3154	4198
429	3160	4189
430	3167	4181
431	3174	4173
432	3182	4166
433	3189	4159
434	3195	4151
435	3203	4143
436	3210	4136
437	3217	4128
438	3223	4119
439	3230	4111
440	3238	4104
441	3244	4096
442	3251	4088
443	3258	4080
444	3266	4073
445	3274	4066
446	3281	4060
447	3288	4051
448	3295	4043
449	3302	4035
450	3308	4027
451	3316	4020
452	3322	4012
453	3329	4004
454	3337	3997
455	3343	3988
456	3350	3981
457	3357	3973
458	3365	3966
459	3372	3959
460	3379	3951
461	3386	3944
462	3393	3936
463	3401	3929
464	3408	3921
465	3416	3915
466	3424	3908
467	3433	3902
468	3440	3895
469	3449	3889
470	3457	3882
471	3465	3877
472	3473	3870
473	3482	3864
474	3489	3857
475	3497	3850
476	3503	3841
477	3510	3834
478	3517	3826
479	3524	3818
480	3532	3811
481	3539	3803
482	3546	3796
483	3553	3788
484	3560	3780
485	3567	3772
486	3574	3764
487	3581	3758
488	3588	3750
489	3597	3744
490	3604	3736
491	3611	3728
492	3617	3720
493	3624	3712
494	3632	3705
495	3638	3697
496	3646	3690
497	3653	3682
498	3660	3675
499	3667	3667
500	3674	3659
501	3681	3652
502	3687	3643
503	3695	3637
504	3702	3629
505	3710	3622
506	3717	3614
507	3724	3607
508	3731	3599
509	3738	3592
510	3745	3584
511	3752	3576
512	3760	3569
513	3766	3561
514	3774	3554
515	3781	3546
516	3788	3539
517	3795	3531
518	3802	3523
519	3809	3516
520	3816	3509
521	3825	3502
522	3832	3495
523	3840	3488
524	3847	3480
525	3853	3472
526	3861	3465
527	3867	3457
528	3874	3450
529	3881	3442
530	3888	3434
531	3895	3426
532	3902	3419
533	3909	3411
534	3916	3403
535	3923	3396
536	3930	3389
537	3937	3381
538	3944	3373
539	3951	3365
540	3958	3358
