iter	MultiClass
447	0.1777438452
448	0.1775934272
449	0.1774980317
450	0.1772980461
451	0.1770949646
452	0.1766128071
453	0.1764722256
454	0.1762586592
455	0.1760178906
456	0.1757254792
457	0.1755612357
458	0.1753325739
459	0.1751960067
460	0.1750806295
461	0.1747938054
462	0.1745414628
463	0.1742240864
464	0.1740653373
465	0.1737874226
466	0.173534108
467	0.1733381777
468	0.1732116394
469	0.1730026445
470	0.1728429913
471	0.1726146007
472	0.1724531261
473	0.172249021
474	0.1720727925
475	0.1719444441
476	0.171753899
477	0.1712472313
478	0.1711191223
479	0.1709643428
480	0.1708245398
481	0.1706689359
482	0.1704636188
483	0.1702660732
484	0.170118859
485	0.169981481
486	0.1699024844
487	0.1696002096
488	0.1693991239
489	0.1692408075
490	0.1690300189
491	0.1688772602
492	0.1686773634
493	0.1684972834
494	0.1683500011
495	0.1681594661
496	0.1679997232
497	0.1678492804
498	0.1676892829
499	0.1675875205
500	0.1674108153
501	0.1672099312
502	0.1671044724
503	0.1668708793
504	0.1666725564
505	0.1665392017
506	0.1664240066
507	0.1662201784
508	0.1661217126
509	0.165939822
510	0.1658442339
511	0.1656462685
512	0.1655829804
513	0.1654929437
514	0.1653861166
515	0.1651558221
516	0.1649148715
517	0.1647423619
518	0.1644172184
519	0.1643178056
520	0.1640918518
521	0.1639670147
522	0.1638289863
523	0.1635729212
524	0.1634169954
525	0.1633029873
526	0.1631913505
527	0.1630676971
528	0.1629471554
529	0.1626936931
530	0.1625071833
531	0.162296555
532	0.1621707625
533	0.1620088692
534	0.1618804442
535	0.1617266993
536	0.1615714173
537	0.1614236548
538	0.1613074233
539	0.161214474
540	0.1611030307
541	0.1608692125
542	0.1608000247
543	0.1606361908
544	0.1605509882
545	0.1603775294
546	0.1602713675
547	0.1601007026
548	0.1599831363
549	0.1597207321
550	0.1596294521
551	0.1593978056
552	0.1592526679
553	0.159141307
554	0.1588843971
555	0.1588273501
556	0.1586028888
557	0.1584625323
558	0.1582739928
559	0.1581211332
560	0.1579797331
561	0.1578873585
562	0.1577180598
563	0.1576330454
564	0.1575384511
565	0.1574108404
566	0.1572715382
567	0.1570763979
568	0.1569292339
569	0.1568525283
570	0.1567407326
571	0.1565889066
572	0.1564513883
573	0.1562870358
574	0.1560826935
575	0.15594607
576	0.1555929791
577	0.1554874155
578	0.1553440247
579	0.1552283078
580	0.1550899086
581	0.154979371
582	0.1549254752
583	0.1548187758
584	0.1546755278
585	0.1545134067
586	0.1543941703
587	0.1543328452
588	0.154265031
589	0.1541222843
590	0.1539580067
591	0.1538462405
592	0.1536967089
593	0.1535621345
594	0.1534504561
595	0.1532611688
596	0.1530381715
597	0.152838049
598	0.1527453887
599	0.1526028857
600	0.1525340328
601	0.1523976157
602	0.1523284759
603	0.152190146
604	0.1520831442
605	0.1518807372
606	0.1517316693
607	0.1516389026
608	0.1515527107
609	0.1514573537
610	0.1513528792
611	0.1511297499
612	0.1510292987
613	0.1509234789
614	0.1507684106
615	0.1506581461
616	0.1505287582
617	0.1503832886
618	0.1502643457
619	0.1502054402
620	0.1500639517
621	0.1499843761
622	0.1498597599
623	0.1495563817
624	0.1494614886
625	0.149364617
626	0.1491531821
627	0.1490235061
628	0.1489118231
629	0.1488382967
630	0.1487103599
631	0.1486239339
632	0.1485377146
633	0.1484183013
634	0.1483339983
635	0.1481914782
636	0.1480401334
637	0.1479378922
638	0.1477828073
639	0.1476966192
640	0.1475673845
641	0.1474955727
642	0.1473683423
643	0.1473338496
644	0.1472361503
645	0.1470961867
646	0.1469754875
647	0.1467706177
648	0.1466285992
649	0.1465122178
650	0.1464507606
651	0.146260939
652	0.1461538643
653	0.1460085014
654	0.1459204621
655	0.1458448214
656	0.1456210048
657	0.1454635842
658	0.1453066764
659	0.1452285315
660	0.145103422
661	0.1450217509
662	0.1448459024
663	0.1446787816
664	0.1445020295
665	0.1444220629
666	0.1442514068
667	0.144109465
668	0.144025187
669	0.1439016388
670	0.1437133206
671	0.1436411886
672	0.1435313919
673	0.1434487999
674	0.1433741026
675	0.1433062688
676	0.1432110068
677	0.1431094667
678	0.1430421729
679	0.1429488821
680	0.1428806158
681	0.1425907111
682	0.1424911004
683	0.1423889619
684	0.1422714073
685	0.1421893909
686	0.1420823755
687	0.1419876157
688	0.141780349
689	0.1417027723
690	0.1414498383
691	0.1413202224
692	0.1411135933
693	0.1410409907
694	0.1409437395
695	0.1408228555
696	0.140717631
697	0.1405565291
698	0.1404422527
699	0.1403693251
700	0.1402569148
701	0.1401474315
702	0.1400044222
703	0.1398704957
704	0.139731588
705	0.1396143086
706	0.139465876
707	0.1393868305
708	0.1393043378
709	0.1392207688
710	0.139036172
711	0.1389654007
712	0.1389094554
713	0.1388223419
714	0.1387063295
715	0.1385942358
716	0.1385135669
717	0.1384466888
718	0.1383746989
719	0.1382868413
720	0.1382107025
721	0.1380091212
722	0.1379139995
723	0.1378089873
724	0.1376941806
725	0.1376128284
726	0.1375234829
727	0.1374043944
728	0.1372613565
729	0.1372235256
730	0.1371452385
731	0.1371180481
732	0.1370090371
733	0.1369088212
734	0.1368778684
735	0.1367782342
736	0.1366899312
737	0.1366204108
738	0.1365334797
739	0.1363077441
740	0.1362017503
741	0.1360604396
742	0.135977079
743	0.1359229821
744	0.1358307913
745	0.1356787725
746	0.1355949355
747	0.1354982009
748	0.1354379569
749	0.1353700108
750	0.1353004194
751	0.1351146084
752	0.1350021761
753	0.1348980687
754	0.1347678019
755	0.134630553
756	0.1345572141
757	0.1345129787
758	0.1343706845
759	0.134271798
760	0.1342180927
761	0.1341519901
762	0.1340553833
763	0.1339536877
764	0.1338524631
765	0.1337784735
766	0.1337035466
767	0.1336495229
768	0.1335510766
769	0.1334341476
770	0.1332660419
771	0.1332016118
772	0.1331024599
773	0.1330170085
774	0.1329051773
775	0.1328000023
776	0.1327090707
777	0.1325896436
778	0.1325268425
779	0.1324471945
780	0.1324083939
781	0.1323111344
782	0.132259162
783	0.1321803861
784	0.132016564
785	0.1319289802
786	0.1318003176
787	0.1317135689
788	0.1316319924
789	0.1315822283
790	0.1313966631
791	0.1313415921
792	0.1312066935
793	0.1311396902
794	0.1310104633
795	0.1309402988
796	0.1308126094
797	0.1307163673
798	0.1306475841
799	0.1305977271
800	0.1304656852
801	0.130384422
802	0.130248471
803	0.1301400971
804	0.1300931334
805	0.1299427689
806	0.1298144578
807	0.129682281
808	0.129579743
809	0.1295017121
810	0.1294187126
811	0.1293441585
812	0.129154792
813	0.1290972372
814	0.1290503154
815	0.1289223003
816	0.1287826107
817	0.1286764251
818	0.1285573499
819	0.1284020497
820	0.1282760383
821	0.1282052315
822	0.1281250289
823	0.128051387
824	0.1279434277
825	0.1278156154
826	0.127770734
827	0.1277205857
828	0.1275973565
829	0.1274824473
830	0.1273957175
831	0.1273477772
832	0.1273164553
833	0.1272199916
834	0.1270721633
835	0.1269424243
836	0.1268727943
837	0.1268096671
838	0.1267163608
839	0.1266258834
840	0.126563066
841	0.1265160455
842	0.1264406822
843	0.1263938032
844	0.1262621726
845	0.1261351189
846	0.1260663733
847	0.1259740335
848	0.1259224899
849	0.1258599156
850	0.1257815129
851	0.125696687
852	0.125558447
853	0.125466708
854	0.125378104
855	0.125210074
856	0.1251321205
857	0.125072931
858	0.1249840675
859	0.1249065958
860	0.1248396398
861	0.1247582329
862	0.1247196521
863	0.1246548101
864	0.1245593318
865	0.1244929814
866	0.1244504532
867	0.1243666514
868	0.1242992783
869	0.1242455694
870	0.1241720072
871	0.1240929179
872	0.1239651266
873	0.1238917443
874	0.1237634869
875	0.1236921061
876	0.123610534
877	0.1235529819
878	0.1234762694
879	0.1233656458
880	0.1232788607
881	0.1232238936
882	0.1231329378
883	0.1230850442
884	0.1230202957
885	0.1229304693
886	0.1228160228
887	0.1227334759
888	0.1226152747
889	0.1225128451
890	0.1224629217
891	0.1224145857
892	0.1223455662
893	0.1222560827
894	0.1221735905
895	0.1221493811
896	0.1220808505
897	0.1219737135
898	0.121920759
899	0.12184899
900	0.1218057658
901	0.1217219343
902	0.121629583
903	0.1215332332
904	0.1214639299
905	0.1214195485
906	0.1212801654
907	0.1212004126
908	0.1211196961
909	0.1210627029
910	0.1209863549
911	0.1209248799
912	0.1208763625
913	0.1208254297
914	0.1207210093
915	0.1206521015
916	0.1205537722
917	0.1204764952
918	0.120433682
919	0.1204022939
920	0.1202770804
921	0.1202034849
922	0.1201418704
923	0.1200061686
924	0.119913703
925	0.1198268372
926	0.1197817191
927	0.1197140159
928	0.1196852967
929	0.1196518971
930	0.1195869171
931	0.1195177158
932	0.1194349347
933	0.1193321216
934	0.1192594221
935	0.1192015905
936	0.1191217632
937	0.1190166595
938	0.118910618
939	0.1187580167
940	0.1187199342
941	0.1186406118
942	0.1185381824
943	0.1184854772
944	0.1184374504
945	0.1183587565
946	0.1183327899
947	0.1182596009
948	0.1181923149
949	0.1181425575
950	0.1181034754
951	0.1180420435
952	0.1179657267
953	0.1179187754
954	0.1178564072
955	0.1177760375
956	0.1177266591
957	0.1176613443
958	0.1175872784
959	0.1175456718
960	0.1174794139
961	0.1174137724
962	0.1173072971
963	0.1172146987
964	0.1171732084
965	0.1170908957
966	0.1170440276
967	0.1169996506
968	0.1169478834
969	0.1169008019
970	0.1168737373
971	0.1167845822
972	0.1167136956
973	0.1166568621
974	0.1165694106
975	0.1164963677
976	0.1164128418
977	0.1163229231
978	0.1162594379
979	0.116114128
980	0.1160660985
981	0.1159315095
982	0.1158245845
983	0.1157216993
984	0.11567054
985	0.1156363247
986	0.115532994
987	0.1154295233
988	0.1153303461
989	0.1151961347
990	0.115157415
991	0.1151003961
992	0.1150450283
993	0.1149855266
994	0.1149165838
995	0.1148484896
996	0.1147909156
997	0.114716598
998	0.1146055954
999	0.1145482024
